YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2021,Nikola Jokic,C,Denver Nuggets,.566,26.4,10.8,8.3,0.7
2020,Giannis Antetokounmpo,F,Milwaukee Bucks,.553,29.5,13.6,5.6,1.0
2019,Giannis Antetokounmpo,F,Milwaukee Bucks,.578,27.7,12.5,5.9,1.5
2018,James Harden,G,Houston Rockets,.449,30.4,5.4,8.8,0.7
2017,Russell Westbrook,G,Oklahoma City Thunder,.425,31.6,10.7,10.4,0.4
2016,Stephen Curry,G,Golden State Warriors,.504,30.1,5.4,6.7,0.2
2015,Stephen Curry,G,Golden State Warriors,.487,23.8,4.3,7.7,0.2
2014,Kevin Durant,F,Oklahoma City Thunder,.503,32.0,7.4,5.5,0.7
2013,LeBron James,F,Miami Heat,.565,26.8,8.0,7.3,0.9
2012,LeBron James,SF,Miami Heat,.531,27.1,7.9,6.2,0.8
2011,Derrick Rose,PG,Chicago Bulls,.445,25.0,4.1,7.7,0.6
2010,LeBron James,SF,Cleveland Cavaliers,.503,29.7,7.3,8.6,1.0
2009,LeBron James,SF,Cleveland Cavaliers,.489,28.4,7.6,7.2,1.1
2008,Kobe Bryant,SF,Los Angeles Lakers,.459,28.3,6.3,5.4,0.5
2007,Dirk Nowitzki,F,Dallas Mavericks,.502,24.6,8.9,3.4,0.8
2006,Steve Nash,PG,Phoenix Suns,.512,18.8,4.2,10.5,0.2
2005,Steve Nash,PG,Phoenix Suns,.502,15.5,3.3,11.5,0.1
2004,Kevin Garnett,PF,Minnesota Timberwolves,.499,24.2,13.9,5.0,2.2
