Player,Tm,Share,Predicted_Share
0,Nikola Jokić,DEN,0.961,0.8305065635567823
1,Joel Embiid,PHI,0.58,0.4635017133592989
2,Stephen Curry,GSW,0.449,0.3074603947746522
3,Giannis Antetokounmpo,MIL,0.345,0.2818013647910825
4,Chris Paul,PHO,0.138,0.1036513247384342
5,Luka Dončić,DAL,0.042,0.077999174442498
6,Damian Lillard,POR,0.038,0.1172438785569187
7,Julius Randle,NYK,0.02,0.0041528492334645
8,Derrick Rose,TOT,0.01,0.0032502369544323
9,Rudy Gobert,UTA,0.008,0.080459437185791
10,Russell Westbrook,WAS,0.005,-0.0016788066468893
11,Ben Simmons,PHI,0.003,-0.0023567190877307
12,James Harden,TOT,0.001,0.0229833819935449
13,LeBron James,LAL,0.001,0.0310944899514227
14,Kawhi Leonard,LAC,0.001,0.0838063868103381
